20241120205010607,202411202050106,1234065530,2058121496,7,9.4,4.0,405.0,14.0,10.0,5.0,7,54.0,1:38.4,アタマ,9-9-8-5,39.6
20241120205010608,202411202050106,1194448031,2174620063,8,103.8,9.0,463.0,-4.0,NULL,6.0,8,56.0,1:39.6,6,4-4-7-7,41.6
20241120205010604,202411202050106,1879072211,2996826391,4,26.7,7.0,516.0,5.0,NULL,7.0,4,55.0,1:39.7,3/4,8-8-6-6,41.3
20241120205010605,202411202050106,1621551437,2859622823,5,38.2,8.0,510.0,-2.0,NULL,8.0,5,54.0,1:39.7,アタマ,5-6-9-8,41.3
20241120205010609,202411202050106,1662272902,2272420063,9,10.6,5.0,500.0,2.0,NULL,9.0,8,56.0,1:41.6,9,3-3-3-9,43.8
20241120205010706,202411202050107,1281354301,2126030495,6,1.6,1.0,489.0,1.0,100.0,1.0,6,51.0,1:30.4,,1-1-1-1,39.0
20241120205010708,202411202050107,1447454814,2569827835,8,15.5,4.0,496.0,7.0,40.0,2.0,7,54.0,1:30.8,2,3-3-3-2,39.3
20241120205010710,202411202050107,1918716328,2696520037,10,3.1,2.0,509.0,-4.0,25.0,3.0,8,55.0,1:31.2,2,4-4-4-3,39.5
20241120205010705,202411202050107,1570359880,2003320940,5,19.6,6.0,495.0,0.0,15.0,4.0,5,56.0,1:31.3,3/4,5-6-6-4,39.4
20241120205010709,202411202050107,1811044196,2140726447,9,19.1,5.0,428.0,6.0,10.0,5.0,7,54.0,1:31.9,3,7-7-5-5,40.0
20241120205010707,202411202050107,1720548355,2184322826,7,92.6,9.0,438.0,2.0,NULL,6.0,6,54.0,1:32.0,1/2,2-2-2-6,40.6
20241120205010703,202411202050107,1444280827,2253020449,3,71.9,8.0,490.0,-2.0,NULL,7.0,3,54.0,1:32.0,クビ,8-8-8-8,39.8
20241120205010702,202411202050107,1519724255,2338922826,2,10.0,3.0,454.0,10.0,NULL,8.0,2,56.0,1:32.2,1.1/2,6-5-7-7,40.3
20241120205010711,202411202050107,1304657257,2442822830,11,42.2,7.0,405.0,-1.0,NULL,9.0,8,54.0,1:32.4,3/4,10-11-10-9,39.2
20241120205010704,202411202050107,1077419181,2272420063,4,215.6,11.0,453.0,9.0,NULL,10.0,4,54.0,1:32.6,1.1/2,9-10-9-10,39.8
20241120205010701,202411202050107,1403720030,2278925104,1,119.3,10.0,439.0,0.0,NULL,NULL,1,56.0,,,11-9-11-11,NULL
20241120205010807,202411202050108,1039373244,2569827835,7,6.8,2.0,433.0,9.0,150.0,1.0,6,54.0,1:29.0,,1-1-1-1,38.7
20241120205010810,202411202050108,1742824858,2788826007,10,1.0,1.0,469.0,4.0,60.0,2.0,8,56.0,1:29.2,1,4-3-2-2,38.8
20241120205010806,202411202050108,1291683121,2045224076,6,20.7,3.0,501.0,2.0,37.5,3.0,6,54.0,1:30.4,6,2-2-3-3,40.0
20241120205010802,202411202050108,1469295814,2272420063,2,65.0,6.0,462.0,-18.0,22.5,4.0,2,54.0,1:30.5,3/4,7-5-5-5,39.6
20241120205010808,202411202050108,1920504890,2128032724,8,236.5,11.0,417.0,-1.0,15.0,5.0,7,54.0,1:30.7,3/4,10-10-9-8,39.2
20241120205010801,202411202050108,1829024064,2339132654,1,110.0,9.0,468.0,-1.0,NULL,6.0,1,52.0,1:30.7,クビ,8-9-8-9,39.4
20241120205010803,202411202050108,1144352132,2338921496,3,101.5,8.0,447.0,2.0,NULL,7.0,3,54.0,1:30.8,1/2,5-7-7-6,39.8
20241120205010804,202411202050108,1416224349,2859622823,4,44.3,5.0,526.0,-1.0,NULL,8.0,4,56.0,1:30.9,1/2,11-11-11-10,38.9
20241120205010805,202411202050108,1597906196,2140726447,5,20.7,4.0,445.0,-6.0,NULL,9.0,5,56.0,1:31.1,1,3-4-4-4,40.4
